Date,Adj Close
2018-04-30,247.01634216308594
2018-05-01,247.45529174804688
2018-05-02,245.79302978515625
2018-05-03,245.2513885498047
2018-05-04,248.4264678955078
2018-05-07,249.26702880859375
2018-05-08,249.26702880859375
2018-05-09,251.67636108398438
2018-05-10,254.0297393798828
2018-05-11,254.80477905273438
2018-05-14,254.92620849609375
2018-05-15,253.17056274414062
2018-05-16,254.235107421875
2018-05-17,254.02035522460938
2018-05-18,253.38531494140625
2018-05-21,255.2903594970703
2018-05-22,254.58065795898438
2018-05-23,255.28111267089844
2018-05-24,254.75807189941406
2018-05-25,254.15110778808594
2018-05-29,251.22808837890625
2018-05-30,254.58065795898438
2018-05-31,253.02110290527344
